location;date;week;total_vaccinations;total_boosters
China;11/09/2022;2021-W37;3434390000;0
Germany;11/09/2022;;185048568;59051835
India;11/09/2022;;2150122402;179821306
United States;11/09/2022;2021-W37;615691059;0
China;18/09/2022;2021-W38;3435302000;0
Germany;18/09/2022;;185276182;59266042
India;18/09/2022;;2165982650;193659567
United States;18/09/2022;2021-W38;619181453;0
China;25/09/2022;2021-W39;3436227000;0
Germany;25/09/2022;;185548182;59524450
India;25/09/2022;;2175957465;202229863
United States;25/09/2022;2021-W39;623214027;0
China;02/10/2022;2021-W40;3437018000;0
Germany;02/10/2022;;185966975;59914056
India;02/10/2022;;2187548762;212528525
United States;02/10/2022;2021-W40;627510797;0
China;09/10/2022;2021-W41;3437516000;0
Germany;09/10/2022;;186416466;60295147
India;09/10/2022;;2189790426;214349172
United States;09/10/2022;2021-W41;632045454;0
China;16/10/2022;2021-W42;3438277000;0
Germany;16/10/2022;;187041154;60819127
India;16/10/2022;;2193219253;217096158
United States;16/10/2022;2021-W42;636652216;0
China;23/10/2022;2021-W43;3438993000;0
Germany;23/10/2022;;187720696;61384005
India;23/10/2022;;2195580184;218826810
United States;23/10/2022;2021-W43;641199944;0
China;30/10/2022;2021-W44;3439698000;0
Germany;30/10/2022;;188374533;61914671
India;30/10/2022;;2196335748;219388593
United States;30/10/2022;2021-W44;645776076;0
China;06/11/2022;2021-W45;3440421000;0
Germany;06/11/2022;;188861717;62303050
India;06/11/2022;;2197262288;220075830
United States;06/11/2022;2021-W45;649603308;0
China;13/11/2022;2021-W46;3441205000;0
Germany;13/11/2022;;189476099;62787499
India;13/11/2022;;2197978762;220576020
United States;13/11/2022;2021-W46;652909399;0
China;20/11/2022;2021-W47;3442376000;0
Germany;20/11/2022;;190004078;63198552
India;20/11/2022;;2198603903;221001164
United States;20/11/2022;2021-W47;655969930;0
China;27/11/2022;2021-W48;3443327000;0
Germany;27/11/2022;;190451636;63542409
India;27/11/2022;;2199058598;221297896
United States;27/11/2022;2021-W48;657771833;0
China;04/12/2022;2021-W49;3444295000;0
Germany;04/12/2022;;190808690;63811716
India;04/12/2022;;2199404380;221519218
United States;04/12/2022;2021-W49;660035121;0
China;11/12/2022;2021-W50;3448992000;0
Germany;11/12/2022;;191118216;64041994
India;11/12/2022;;2199683095;221686727
United States;11/12/2022;2021-W50;662273358;0
China;18/12/2022;2021-W51;3457491000;0
Germany;18/12/2022;;191380604;64234270
India;18/12/2022;;2200010800;221886791
United States;18/12/2022;2021-W51;664373850;0
China;25/12/2022;2021-W52;3471819000;0
Germany;25/12/2022;;191524947;64338637
India;25/12/2022;;2200495328;222221515
United States;25/12/2022;2021-W52;665742181;0
China;01/01/2023;2022-W01;3478488000;0
Germany;01/01/2023;;191587420;64385153
India;01/01/2023;;2201044679;222623784
United States;01/01/2023;2022-W01;666962231;0
